,date,lable,text
1152,20151230,1.0469921375022815,0.8467261904761906
1151,20151231,1.027601107696049,0.9066115702479339
1150,20160104,0.9947560975609716,0.895644283121597
1149,20160105,0.9663801278717572,0.7798319327731091
1148,20160106,0.9382253607614329,0.8510830324909747
1147,20160107,0.8917213216186077,0.7718181818181818
1146,20160108,0.8520654715510485,0.8496993987975952
1145,20160111,0.8162124827326346,0.6973564266180492
1144,20160112,0.7941845764854576,0.7035040431266846
1143,20160113,0.7608543194134484,0.6633484162895927
1142,20160114,0.7519255455712412,0.6576271186440678
1141,20160115,0.7361569846512491,0.5936739659367397
1140,20160118,0.7455307445484867,0.621273166800967
1139,20160119,0.7575516693163714,0.6896551724137931
1138,20160120,0.7819981275912758,0.6836393989983305
1137,20160121,0.7867855695176287,0.6188925081433225
1136,20160122,0.8064130990960219,0.6215578284815106
1135,20160125,0.8235496170095794,0.7229020979020979
1134,20160126,0.8228964176617566,0.6576655052264808
1133,20160127,0.8286084732102144,0.7560747663551403
1132,20160128,0.8402337524349172,0.7714570858283434
1131,20160129,0.8501327211421152,0.8713968957871397
1130,20160201,0.8456434560699924,0.915024630541872
1129,20160202,0.8651556182067697,1.06155950752394
1128,20160203,0.8699558340568455,1.0079260237780714
1127,20160204,0.8870862827625747,0.9660194174757282
1126,20160205,0.9031706558905771,1.0713324360699865
1125,20160215,0.9302839116719201,1.1901931649331352
1124,20160216,0.9548551619715464,1.3343949044585988
1123,20160217,0.9844505317434699,1.2567164179104477
1122,20160218,1.0049357536202284,1.1418732782369145
1121,20160219,1.0227722772277184,1.0858652575957728
1120,20160222,1.0438676507173021,1.1396574440052702
1119,20160223,1.0463344573498146,1.096306068601583
1118,20160224,1.045781720790086,1.1994134897360702
1117,20160225,1.02728839927679,1.1986970684039089
1116,20160226,1.0054972936400497,1.0562962962962963
1115,20160229,0.9558086173196183,0.9644444444444444
1114,20160301,0.9193920245922592,0.953125
1113,20160302,0.8912922669174496,0.9552238805970149
1112,20160303,0.8871265057658464,0.9633649932157394
1111,20160304,0.8790613718411509,0.9206566347469222
1110,20160307,0.8946460901801838,0.9127604166666666
1109,20160308,0.9073753462603836,0.9592391304347825
1108,20160309,0.9090355153203301,0.9080157687253614
1107,20160310,0.9043501048217986,0.9127516778523489
1106,20160311,0.9127917178452318,0.9530386740331492
1105,20160314,0.9203297914553988,0.9246753246753247
1104,20160315,0.9216492111891778,0.870049504950495
1103,20160316,0.9280575539568302,0.7931818181818182
1102,20160317,0.9434063000533859,0.8306818181818181
1101,20160318,0.9636557990379433,0.8943661971830986
1100,20160321,0.9824436641628472,0.8700440528634361
1099,20160322,1.000800213390233,0.8585746102449888
1098,20160323,1.0201306492467628,0.8904267589388697
1097,20160324,1.0268537074148254,0.8311111111111111
1096,20160325,1.0275237542936122,0.7656565656565656
1095,20160328,1.0215846628234304,0.7497536945812808
1094,20160329,1.0154923885221563,0.7978142076502732
1093,20160330,1.016674177557454,0.7576961271102284
1092,20160331,1.0253490578826037,0.7340324118207817
1091,20160401,1.0321499728310044,0.7598039215686275
1090,20160405,1.0476233713170156,0.7784200385356455
1089,20160406,1.0706593356659198,0.7866149369544131
1088,20160407,1.0789461709969468,0.7562380038387716
1087,20160408,1.081748445372425,0.7625482625482626
1086,20160411,1.0858305084745716,0.743778801843318
1085,20160412,1.0750853242320773,0.7392923649906891
1084,20160413,1.07166748427953,0.7434743474347435
1083,20160414,1.0814355338945456,0.7857802400738688
1082,20160415,1.0884581497797312,0.8131655372700871
1081,20160418,1.0848689105790648,0.7809523809523808
1080,20160419,1.085398249357658,0.7795801526717557
1079,20160420,1.0645750043455544,0.7266602502406159
1078,20160421,1.037306642402179,0.7137476459510358
1077,20160422,1.0129971069562544,0.6940639269406392
1076,20160425,0.9901331380068034,0.6745670009115771
1075,20160426,0.9850285273047017,0.8238866396761133
1074,20160427,0.9914113575182626,0.798994974874372
1073,20160428,0.9999574739527919,0.8075772681954138
1072,20160429,1.006573088503452,0.808316430020284
1071,20160503,1.0244088159397564,0.8118811881188118
1070,20160504,1.0252619128083773,0.7407740774077408
1069,20160505,1.0296770929938415,0.7139130434782609
1068,20160506,1.0211151852320102,0.7044424297370807
1067,20160509,1.0034596236604467,0.6795112781954887
1066,20160510,0.9801402856418452,0.6691380908248379
1065,20160511,0.952905302388612,0.6870748299319729
1064,20160512,0.9224700992450552,0.6566037735849056
1063,20160513,0.9020425531914854,0.6342592592592592
1062,20160516,0.9005887874391973,0.6586046511627907
1061,20160517,0.9002310259262387,0.6220472440944882
1060,20160518,0.8979995697999529,0.5701091519731318
1059,20160519,0.8993770548537768,0.5460368294635709
1058,20160520,0.9056161230074232,0.5655004068348252
1057,20160523,0.9090750588440375,0.615451388888889
