,基金代码,拼音缩写,基金简称,基金类型,拼音全称
873,001174,ZOJHLHPZHHC,中欧瑾和灵活配置混合C,混合型-灵活,ZHONGOUJINHELINGHUOPEIZHIHUNHEC
874,001175,SZRRTLHBA,山证日日添利货币A,货币型,SHANZHENGRIRITIANLIHUOBIA
875,001176,SZRRTLHBB,山证日日添利货币B,货币型,SHANZHENGRIRITIANLIHUOBIB
876,001177,SZRRTLHBC,山证日日添利货币C,货币型,SHANZHENGRIRITIANLIHUOBIC
877,001178,QHKYZRZGP,前海开源再融资股票,股票型,QIANHAIKAIYUANZAIRONGZIGUPIAO
878,001179,DBDJKLHPZHH,德邦大健康灵活配置混合,混合型-灵活,DEBANGDAJIANKANGLINGHUOPEIZHIHUNHE
879,001180,GFYYWSLJA,广发医药卫生联接A,指数型-股票,GUANGFAYIYAOWEISHENGLIANJIEA
880,001181,NFGGJY,南方改革机遇,混合型-灵活,NANFANGGAIGEJIYU
881,001182,YFDAXHKHH,易方达安心回馈混合,混合型-偏债,YIFANGDAANXINHUIKUIHUNHE
882,001183,NFLTA,南方利淘A,混合型-灵活,NANFANGLITAOA
883,001184,YFDXCTLHPZHH,易方达新常态灵活配置混合,混合型-灵活,YIFANGDAXINCHANGTAILINGHUOPEIZHIHUNHE
884,001185,AXDTCLHHA,安信动态策略混合A,混合型-灵活,ANXINDONGTAICELUEHUNHEA
885,001186,FGWTJKGPA,富国文体健康股票A,股票型,FUGUOWENTIJIANKANGGUPIAOA
886,001187,FGWTJKGPA,富国文体健康股票A(后端),股票型,FUGUOWENTIJIANKANGGUPIAOA
887,001188,PHGGHLGP,鹏华改革红利股票,股票型,PENGHUAGAIGEHONGLIGUPIAO
888,001189,GFJBHHA,广发聚宝混合A,混合型-偏债,GUANGFAJUBAOHUNHEA
889,001190,PHHRHHA,鹏华弘润混合A,混合型-灵活,PENGHUAHONGRUNHUNHEA
890,001191,PHHRHHC,鹏华弘润混合C,混合型-灵活,PENGHUAHONGRUNHUNHEC
891,001192,STMGZHQDHH,上投摩根整合驱动混合,混合型-灵活,SHANGTOUMOGENZHENGHEQUDONGHUNHE
892,001193,ZJXFSJ,中金消费升级,股票型,ZHONGJINXIAOFEISHENGJI
893,001194,JSCCWJHBHHA,景顺长城稳健回报混合A,混合型-灵活,JINGSHUNCHANGCHENGWENJIANHUIBAOHUNHEA
894,001195,GYNYCYGP,工银农业产业股票,股票型,GONGYINNONGYECHANYEGUPIAO
895,001196,DFDXLHPZHHA,东方鼎新灵活配置混合A,混合型-灵活,DONGFANGDINGXINLINGHUOPEIZHIHUNHEA
896,001197,CSZXSJZTLHPZHH,长盛转型升级主题灵活配置混合,混合型-灵活,CHANGSHENGZHUANXINGSHENGJIZHUTILINGHUOPEIZHIHUNHE
897,001198,DFHXLHPZHHA,东方惠新灵活配置混合A,混合型-灵活,DONGFANGHUIXINLINGHUOPEIZHIHUNHEA
898,001199,CJHXJLZQA,创金合信聚利债券A,债券型-混合债,CHUANGJINHEXINJULIZHAIQUANA
899,001200,CJHXJLZQC,创金合信聚利债券C,债券型-混合债,CHUANGJINHEXINJULIZHAIQUANC
900,001201,SWLXAXHBHHA,申万菱信安鑫回报混合A,混合型-灵活,SHENWANLINGXINANXINHUIBAOHUNHEA
901,001202,DFHLXJXHH,东方红领先精选混合,混合型-灵活,DONGFANGHONGLINGXIANJINGXUANHUNHE
902,001203,DFHWJJXHHA,东方红稳健精选混合A,混合型-偏债,DONGFANGHONGWENJIANJINGXUANHUNHEA
903,001204,DFHWJJXHHC,东方红稳健精选混合C,混合型-偏债,DONGFANGHONGWENJIANJINGXUANHUNHEC
904,001208,NADTJJGPA,诺安低碳经济股票A,股票型,NUOANDITANJINGJIGUPIAOA
905,001209,QHKYYDYLHHA,前海开源一带一路混合A,混合型-灵活,QIANHAIKAIYUANYIDAIYILUHUNHEA
906,001210,THHLWHH,天弘互联网混合,混合型-灵活,TIANHONGHULIANWANGHUNHE
907,001211,ZOGQBHBA,中欧滚钱宝货币A,货币型,ZHONGOUGUNQIANBAOHUOBIA
908,001212,HRYDWJZQA,华润元大稳健债券A,债券型-长债,HUARUNYUANDAWENJIANZHAIQUANA
