,基金代码,拼音缩写,基金简称,基金类型,拼音全称
936,001242,BSZZTJDSJ100A,博时中证淘金大数据100A,指数型-股票,BOSHIZHONGZHENGTAOJINDASHUJU100A
937,001243,BSZZTJDSJ100I,博时中证淘金大数据100I,指数型-股票,BOSHIZHONGZHENGTAOJINDASHUJU100I
938,001244,HTBRLHZHHHA,华泰柏瑞量化智慧混合A,混合型-灵活,HUATAIBAIRUILIANGHUAZHIHUIHUNHEA
939,001245,GYSTHJGP,工银生态环境股票,股票型,GONGYINSHENGTAIHUANJINGGUPIAO
940,001246,XYCLDKZ,兴银长乐定开债,债券型-长债,XINGYINCHANGLEDINGKAIZHAI
941,001247,HTBRXLHHA,华泰柏瑞新利混合A,混合型-灵活,HUATAIBAIRUIXINLIHUNHEA
942,001249,YFDXLLHPZHH,易方达新利灵活配置混合,混合型-灵活,YIFANGDAXINLILINGHUOPEIZHIHUNHE
943,001250,THXHLHH,天弘新活力混合,混合型-灵活,TIANHONGXINHUOLIHUNHE
944,001251,THXJGJHBD,天弘现金管家货币D,货币型,TIANHONGXIANJINGUANJIAHUOBID
945,001252,ZHJQSYHH,中海进取收益混合,混合型-灵活,ZHONGHAIJINQUSHOUYIHUNHE
946,001254,TDHLXQDHHA,泰达宏利新起点混合A,混合型-灵活,TAIDAHONGLIXINQIDIANHUNHEA
947,001255,CCGGHLHH,长城改革红利混合,混合型-灵活,CHANGCHENGGAIGEHONGLIHUNHE
948,001256,HDYXCZHH,泓德优选成长混合,混合型-偏股,HONGDEYOUXUANCHENGZHANGHUNHE
949,001257,XYSYZQZQA,兴业收益增强债券A,债券型-混合债,XINGYESHOUYIZENGQIANGZHAIQUANA
950,001258,XYSYZQZQC,兴业收益增强债券C,债券型-混合债,XINGYESHOUYIZENGQIANGZHAIQUANC
951,001261,ZRXJYHH,中融新机遇混合,混合型-灵活,ZHONGRONGXINJIYUHUNHE
952,001264,YHHLLHPZHHA,银华恒利灵活配置混合A,混合型-灵活,YINHUAHENGLILINGHUOPEIZHIHUNHEA
953,001265,GTXYLHPZHHA,国泰兴益灵活配置混合A,混合型-灵活,GUOTAIXINGYILINGHUOPEIZHIHUNHEA
954,001266,GTRYZCHH,国投瑞银招财混合,混合型-灵活,GUOTOURUIYINZHAOCAIHUNHE
955,001267,TDHLLCHH,泰达宏利蓝筹混合,混合型-偏股,TAIDAHONGLILANCHOUHUNHE
956,001268,FGGJAQZTHH,富国国家安全主题混合,混合型-偏股,FUGUOGUOJIAANQUANZHUTIHUNHE
957,001270,YDLHPZHHXFQSA,英大灵活配置混合型发起式A,混合型-灵活,YINGDALINGHUOPEIZHIHUNHEXINGFAQISHIA
958,001271,YDLHPZHHXFQSB,英大灵活配置混合型发起式B,混合型-灵活,YINGDALINGHUOPEIZHIHUNHEXINGFAQISHIB
959,001272,XYJLLHPZHH,兴业聚利灵活配置混合,混合型-灵活,XINGYEJULILINGHUOPEIZHIHUNHE
960,001273,MSJYXDLHHA,民生加银新动力混合A,混合型-灵活,MINSHENGJIAYINXINDONGLIHUNHEA
961,001274,MSJYXDLHHD,民生加银新动力混合D,混合型-灵活,MINSHENGJIAYINXINDONGLIHUNHED
962,001275,ZYCXYSLHPZHH,中邮创新优势灵活配置混合,混合型-灵活,ZHONGYOUCHUANGXINYOUSHILINGHUOPEIZHIHUNHE
963,001276,JXXJJLHPZHH,建信新经济灵活配置混合,混合型-灵活,JIANXINXINJINGJILINGHUOPEIZHIHUNHE
964,001277,BSGQGGGP,博时国企改革股票,股票型,BOSHIGUOQIGAIGEGUPIAO
965,001278,QHKYQJNYHHA,前海开源清洁能源混合A,混合型-灵活,QIANHAIKAIYUANQINGJIENENGYUANHUNHEA
966,001279,ZHJJZLHH,中海积极增利混合,混合型-灵活,ZHONGHAIJIJIZENGLIHUNHE
967,001280,YHJLLHPZHHA,银华聚利灵活配置混合A,混合型-灵活,YINHUAJULILINGHUOPEIZHIHUNHEA
968,001281,CAXLYXHHA,长安鑫利优选混合A,混合型-灵活,CHANGANXINLIYOUXUANHUNHEA
969,001282,HAXJYLHPZ,华安新机遇灵活配置,混合型-灵活,HUAANXINJIYULINGHUOPEIZHI
970,001283,HTHTSJXDLHHA,红塔红土盛金新动力混合A,混合型-灵活,HONGTAHONGTUSHENGJINXINDONGLIHUNHEA
971,001284,HTHTSJXDLHHC,红塔红土盛金新动力混合C,混合型-灵活,HONGTAHONGTUSHENGJINXINDONGLIHUNHEC
972,001285,YFDXXHHI,易方达新鑫混合I,混合型-灵活,YIFANGDAXINXINHUNHEI
973,001286,YFDXXHHE,易方达新鑫混合E,混合型-灵活,YIFANGDAXINXINHUNHEE
974,001287,AXYSZZHHA,安信优势增长混合A,混合型-灵活,ANXINYOUSHIZENGZHANGHUNHEA
975,001289,YHHLLHPZHHA,银华汇利灵活配置混合A,混合型-灵活,YINHUAHUILILINGHUOPEIZHIHUNHEA
976,001291,DMLHDCLGP,大摩量化多策略股票,股票型,DAMOLIANGHUADUOCELUEGUPIAO
977,001294,XHZLXXCYLHPZHH,新华战略新兴产业灵活配置混合,混合型-灵活,XINHUAZHANLUEXINXINGCHANYELINGHUOPEIZHIHUNHE
978,001296,CCZXCZLHPZHH,长城转型成长灵活配置混合,混合型-灵活,CHANGCHENGZHUANXINGCHENGZHANGLINGHUOPEIZHIHUNHE
979,001297,PAZHZGHH,平安智慧中国混合,混合型-灵活,PINGANZHIHUIZHONGGUOHUNHE
980,001298,JYMZXXHH,金鹰民族新兴混合,混合型-灵活,JINYINGMINZUXINXINGHUNHE
981,001299,XYTLZQ,兴业添利债券,债券型-长债,XINGYETIANLIZHAIQUAN
982,001300,DCRJLHPZHHA,大成睿景灵活配置混合A,混合型-灵活,DACHENGRUIJINGLINGHUOPEIZHIHUNHEA
983,001301,DCRJLHPZHHC,大成睿景灵活配置混合C,混合型-灵活,DACHENGRUIJINGLINGHUOPEIZHIHUNHEC
984,001302,QHKYJYZBHHA,前海开源金银珠宝混合A,混合型-灵活,QIANHAIKAIYUANJINYINZHUBAOHUNHEA
985,001303,YHWLLHPZHHA,银华稳利灵活配置混合A,混合型-灵活,YINHUAWENLILINGHUOPEIZHIHUNHEA
986,001304,JXXAHBLHPZHH,建信鑫安回报灵活配置混合,混合型-灵活,JIANXINXINANHUIBAOLINGHUOPEIZHIHUNHE
987,001305,JTTFGGHHA,九泰天富改革混合A,混合型-灵活,JIUTAITIANFUGAIGEHUNHEA
988,001306,ZOYYHHA,中欧永裕混合A,混合型-偏股,ZHONGOUYONGYUHUNHEA
989,001307,ZOYYHHC,中欧永裕混合C,混合型-偏股,ZHONGOUYONGYUHUNHEC
990,001308,BSWFHB,博时外服货币,货币型,BOSHIWAIFUHUOBI
991,001309,DFHRYDQKFHH,东方红睿逸定期开放混合,混合型-偏债,DONGFANGHONGRUIYIDINGQIKAIFANGHUNHE
992,001311,HAXHBLHPZHH,华安新回报灵活配置混合,混合型-灵活,HUAANXINHUIBAOLINGHUOPEIZHIHUNHE
993,001312,HAXYXLHPZHHA,华安新优选灵活配置混合A,混合型-灵活,HUAANXINYOUXUANLINGHUOPEIZHIHUNHEA
994,001313,STMGZHHLGP,上投摩根智慧互联股票,股票型,SHANGTOUMOGENZHIHUIHULIANGUPIAO
995,001314,YFDXYHHI,易方达新益混合I,混合型-灵活,YIFANGDAXINYIHUNHEI
996,001315,YFDXYHHE,易方达新益混合E,混合型-灵活,YIFANGDAXINYIHUNHEE
997,001316,AXWJZZHHA,安信稳健增值混合A,混合型-灵活,ANXINWENJIANZENGZHIHUNHEA
998,001318,DFXCLLHPZHHA,东方新策略灵活配置混合A,混合型-灵活,DONGFANGXINCELUELINGHUOPEIZHIHUNHEA
999,001319,NYXXCMGP,农银信息传媒股票,股票型,NONGYINXINXICHUANMEIGUPIAO
1000,001320,GYFYHBLHPZHH,工银丰盈回报灵活配置混合,混合型-灵活,GONGYINFENGYINGHUIBAOLINGHUOPEIZHIHUNHE
1001,001322,DWXQSJZXHH,东吴新趋势价值线混合,混合型-灵活,DONGWUXINQUSHIJIAZHIXIANHUNHE
1002,001323,DWYDHLHHA,东吴移动互联混合A,混合型-灵活,DONGWUYIDONGHULIANHUNHEA
1003,001324,HBXJZHH,华宝新价值混合,混合型-灵活,HUABAOXINJIAZHIHUNHE
1004,001325,PHHHHHA,鹏华弘和混合A,混合型-灵活,PENGHUAHONGHEHUNHEA
1005,001326,PHHHHHC,鹏华弘和混合C,混合型-灵活,PENGHUAHONGHEHUNHEC
1006,001327,PHHHHHA,鹏华弘华混合A,混合型-灵活,PENGHUAHONGHUAHUNHEA
1007,001328,PHHHHHC,鹏华弘华混合C,混合型-灵活,PENGHUAHONGHUAHUNHEC
1008,001329,PHHSHHA,鹏华弘实混合A,混合型-灵活,PENGHUAHONGSHIHUNHEA
1009,001330,PHHSHHC,鹏华弘实混合C,混合型-灵活,PENGHUAHONGSHIHUNHEC
1010,001331,PHHXHHA,鹏华弘信混合A,混合型-灵活,PENGHUAHONGXINHUNHEA
1011,001332,PHHXHHC,鹏华弘信混合C,混合型-灵活,PENGHUAHONGXINHUNHEC
1012,001334,NFLXA,南方利鑫A,混合型-灵活,NANFANGLIXINA
1013,001335,NFLZA,南方利众A,混合型-灵活,NANFANGLIZHONGA
1014,001336,PHHYHHA,鹏华弘益混合A,混合型-灵活,PENGHUAHONGYIHUNHEA
1015,001337,PHHYHHC,鹏华弘益混合C,混合型-灵活,PENGHUAHONGYIHUNHEC
1016,001338,AXWJZZHHC,安信稳健增值混合C,混合型-灵活,ANXINWENJIANZENGZHIHUNHEC
1017,001339,XYDXLHPZHH,兴银鼎新灵活配置混合,混合型-灵活,XINGYINDINGXINLINGHUOPEIZHIHUNHE
1018,001342,YFDXXHHA,易方达新享混合A,混合型-灵活,YIFANGDAXINXIANGHUNHEA
1019,001343,YFDXXHHC,易方达新享混合C,混合型-灵活,YIFANGDAXINXIANGHUNHEC
1020,001344,YFDHS300YYLJA,易方达沪深300医药联接A,指数型-股票,YIFANGDAHUSHEN300YIYAOLIANJIEA
1021,001345,FGXSYLHPZHHA,富国新收益灵活配置混合A,混合型-灵活,FUGUOXINSHOUYILINGHUOPEIZHIHUNHEA
1022,001347,FGXSYLHPZHHC,富国新收益灵活配置混合C,混合型-灵活,FUGUOXINSHOUYILINGHUOPEIZHIHUNHEC
1023,001349,FGGGDLHH,富国改革动力混合,混合型-偏股,FUGUOGAIGEDONGLIHUNHE
1024,001351,NAZZ500ZSZQA,诺安中证500指数增强A,指数型-股票,NUOANZHONGZHENG500ZHISHUZENGQIANGA
1025,001352,MSJYXZLHHA,民生加银新战略混合A,混合型-灵活,MINSHENGJIAYINXINZHANLUEHUNHEA
1026,001355,GFJTHHA,广发聚泰混合A,混合型-偏债,GUANGFAJUTAIHUNHEA
1027,001356,GFJTHHC,广发聚泰混合C,混合型-偏债,GUANGFAJUTAIHUNHEC
1028,001357,HDHFHHA,泓德泓富混合A,混合型-灵活,HONGDEHONGFUHUNHEA
1029,001358,BYXTHHA,宝盈祥泰混合A,混合型-偏债,BAOYINGXIANGTAIHUNHEA
1030,001359,GLATXLHPZHHA,国联安添鑫灵活配置混合A,混合型-灵活,GUOLIANANTIANXINLINGHUOPEIZHIHUNHEA
1031,001361,JSZZKJCMTX150ETFLJ,景顺中证科技传媒通信150ETF联接,指数型-股票,JINGSHUNZHONGZHENGKEJICHUANMEITONGXIN150ETFLIANJIE
1032,001362,JSCCLXHBHHA,景顺长城领先回报混合A,混合型-灵活,JINGSHUNCHANGCHENGLINGXIANHUIBAOHUNHEA
1033,001363,CCJHLHPZHH,长城久惠灵活配置混合,混合型-灵活,CHANGCHENGJIUHUILINGHUOPEIZHIHUNHE
1034,001364,DCJRLHPZHH,大成景润灵活配置混合,混合型-灵活,DACHENGJINGRUNLINGHUOPEIZHIHUNHE
1035,001365,DCZXHBLHPZHH,大成正向回报灵活配置混合,混合型-灵活,DACHENGZHENGXIANGHUIBAOLINGHUOPEIZHIHUNHE
1036,001366,JYCYZHHH,金鹰产业整合混合,混合型-灵活,JINYINGCHANYEZHENGHEHUNHE
1037,001367,DBXTLZQA,德邦新添利债券A,债券型-混合债,DEBANGXINTIANLIZHAIQUANA
1038,001368,XYWGSYYNLCZQ,兴业稳固收益一年理财债券,债券型-长债,XINGYEWENGUSHOUYIYINIANLICAIZHAIQUAN
1039,001369,XYWGSYLNLCZQ,兴业稳固收益两年理财债券,债券型-长债,XINGYEWENGUSHOUYILIANGNIANLICAIZHAIQUAN
1040,001370,ZYXQSHH,中银新趋势混合,混合型-灵活,ZHONGYINXINQUSHIHUNHE
1041,001371,FGHGSJZHHA,富国沪港深价值混合A,混合型-灵活,FUGUOHUGANGSHENJIAZHIHUNHEA
1042,001373,YFDXSLLHPZHH,易方达新丝路灵活配置混合,混合型-灵活,YIFANGDAXINSILULINGHUOPEIZHIHUNHE
1043,001374,HXXJZLHBB,华夏现金增利货币B,货币型,HUAXIAXIANJINZENGLIHUOBIB
1044,001375,JYSAYZJXHHC,金元顺安优质精选混合C,混合型-灵活,JINYUANSHUNANYOUZHIJINGXUANHUNHEC
1045,001376,HDHFHHC,泓德泓富混合C,混合型-灵活,HONGDEHONGFUHUNHEC
1046,001379,JSCCLXHBHHC,景顺长城领先回报混合C,混合型-灵活,JINGSHUNCHANGCHENGLINGXIANHUIBAOHUNHEC
1047,001380,PHHSHHC,鹏华弘盛混合C,混合型-灵活,PENGHUAHONGSHENGHUNHEC
1048,001381,PHHZHHC,鹏华弘泽混合C,混合型-灵活,PENGHUAHONGZEHUNHEC
1049,001382,YFDGQGGHH,易方达国企改革混合,混合型-偏股,YIFANGDAGUOQIGAIGEHUNHE
1050,001384,DFXSLHHA,东方新思路混合A,混合型-灵活,DONGFANGXINSILUHUNHEA
1051,001385,DFXSLHHC,东方新思路混合C,混合型-灵活,DONGFANGXINSILUHUNHEC
1052,001386,THHYBHBA,天弘弘运宝货币A,货币型,TIANHONGHONGYUNBAOHUOBIA
1053,001387,ZRXJJHHA,中融新经济混合A,混合型-灵活,ZHONGRONGXINJINGJIHUNHEA
1054,001388,ZRXJJHHC,中融新经济混合C,混合型-灵活,ZHONGRONGXINJINGJIHUNHEC
1055,001391,THHYBHBB,天弘弘运宝货币B,货币型,TIANHONGHONGYUNBAOHUOBIB
1056,001392,GFJRDCHHA,国富金融地产混合A,混合型-灵活,GUOFUJINRONGDICHANHUNHEA
1057,001393,GFJRDCHHC,国富金融地产混合C,混合型-灵活,GUOFUJINRONGDICHANHUNHEC
1058,001396,JXHLWCYSJGP,建信互联网+产业升级股票,股票型,JIANXINHULIANWANGCHANYESHENGJIGUPIAO
1059,001397,JXJGZZZSZQ,建信精工制造指数增强,指数型-股票,JIANXINJINGGONGZHIZAOZHISHUZENGQIANG
1060,001398,HTBRJKSHHH,华泰柏瑞健康生活混合,混合型-灵活,HUATAIBAIRUIJIANKANGSHENGHUOHUNHE
1061,001399,AXXADLHHA,安信鑫安得利混合A,混合型-灵活,ANXINXINANDELIHUNHEA
1062,001400,AXXADLHHC,安信鑫安得利混合C,混合型-灵活,ANXINXINANDELIHUNHEC
1063,001401,DBRYHB,德邦如意货币,货币型,DEBANGRUYIHUOBI
1064,001402,XCXXHHA,信诚新选混合A,混合型-灵活,XINCHENGXINXUANHUNHEA
1065,001403,ZSGQGGZTHHJJ,招商国企改革主题混合基金,混合型-偏股,ZHAOSHANGGUOQIGAIGEZHUTIHUNHEJIJIN
1066,001404,ZSYDHLWCYGPJJ,招商移动互联网产业股票基金,股票型,ZHAOSHANGYIDONGHULIANWANGCHANYEGUPIAOJIJIN
1067,001405,DFHCLJXHHA,东方红策略精选混合A,混合型-灵活,DONGFANGHONGCELUEJINGXUANHUNHEA
1068,001406,DFHCLJXHHC,东方红策略精选混合C,混合型-灵活,DONGFANGHONGCELUEJINGXUANHUNHEC
1069,001407,JSCCWJHBHHC,景顺长城稳健回报混合C,混合型-灵活,JINGSHUNCHANGCHENGWENJIANHUIBAOHUNHEC
1070,001409,GYHLWJGP,工银互联网加股票,股票型,GONGYINHULIANWANGJIAGUPIAO
1071,001410,XDAYXNYCYGP,信达澳银新能源产业股票,股票型,XINDAAOYINXINNENGYUANCHANYEGUPIAO
1072,001411,NACXQDHHA,诺安创新驱动混合A,混合型-灵活,NUOANCHUANGXINQUDONGHUNHEA
1073,001412,DBXXJZLHPZHHA,德邦鑫星价值灵活配置混合A,混合型-灵活,DEBANGXINXINGJIAZHILINGHUOPEIZHIHUNHEA
1074,001413,ZRXQDHHA,中融鑫起点混合A,混合型-灵活,ZHONGRONGXINQIDIANHUNHEA
1075,001414,ZRXQDHHC,中融鑫起点混合C,混合型-灵活,ZHONGRONGXINQIDIANHUNHEC
1076,001415,XCXRHHA,信诚新锐混合A,混合型-灵活,XINCHENGXINRUIHUNHEA
1077,001416,JSSJQDGP,嘉实事件驱动股票,股票型,JIASHISHIJIANQUDONGGUPIAO
1078,001417,HTFYLFWHH,汇添富医疗服务混合,混合型-灵活,HUITIANFUYILIAOFUWUHUNHE
1079,001418,TDHLCYHHA,泰达宏利创益混合A,混合型-灵活,TAIDAHONGLICHUANGYIHUNHEA
1080,001419,TDHLXSLHHA,泰达宏利新思路混合A,混合型-灵活,TAIDAHONGLIXINSILUHUNHEA
1081,001420,NFDSJ300A,南方大数据300A,指数型-股票,NANFANGDASHUJU300A
1082,001421,NFLHCZ,南方量化成长,股票型,NANFANGLIANGHUACHENGZHANG
1083,001422,JSCCAXHBHHA,景顺长城安享回报混合A,混合型-灵活,JINGSHUNCHANGCHENGANXIANGHUIBAOHUNHEA
1084,001423,JSCCAXHBHHC,景顺长城安享回报混合C,混合型-灵活,JINGSHUNCHANGCHENGANXIANGHUIBAOHUNHEC
1085,001424,BSXQDHHA,博时新起点混合A,混合型-灵活,BOSHIXINQIDIANHUNHEA
1086,001425,BSXQDHHC,博时新起点混合C,混合型-灵活,BOSHIXINQIDIANHUNHEC
1087,001426,NFDSJ300C,南方大数据300C,指数型-股票,NANFANGDASHUJU300C
1088,001427,ZSFZHHA,招商丰泽混合A,混合型-灵活,ZHAOSHANGFENGZEHUNHEA
1089,001428,GYRXLHPZHHB,工银瑞信灵活配置混合B,混合型-灵活,GONGYINRUIXINLINGHUOPEIZHIHUNHEB
1090,001430,ZYLXSYLHPZHH,中邮乐享收益灵活配置混合,混合型-灵活,ZHONGYOULEXIANGSHOUYILINGHUOPEIZHIHUNHE
1091,001433,YFDRJHH,易方达瑞景混合,混合型-灵活,YIFANGDARUIJINGHUNHE
1092,001437,YFDRXHHI,易方达瑞享混合I,混合型-灵活,YIFANGDARUIXIANGHUNHEI
1093,001438,YFDRXHHE,易方达瑞享混合E,混合型-灵活,YIFANGDARUIXIANGHUNHEE
1094,001441,YFDRXHHI,易方达瑞信混合I,混合型-灵活,YIFANGDARUIXINHUNHEI
1095,001442,YFDRXHHE,易方达瑞信混合E,混合型-灵活,YIFANGDARUIXINHUNHEE
1096,001443,YFDRXLHPZHHI,易方达瑞选灵活配置混合I,混合型-灵活,YIFANGDARUIXUANLINGHUOPEIZHIHUNHEI
1097,001444,YFDRXLHPZHHE,易方达瑞选灵活配置混合E,混合型-灵活,YIFANGDARUIXUANLINGHUOPEIZHIHUNHEE
1098,001445,HAGQGGZTLHPZHH,华安国企改革主题灵活配置混合,混合型-灵活,HUAANGUOQIGAIGEZHUTILINGHUOPEIZHIHUNHE
1099,001446,ZSFZHHC,招商丰泽混合C,混合型-灵活,ZHAOSHANGFENGZEHUNHEC
1100,001447,THHLHH,天弘惠利混合,混合型-灵活,TIANHONGHUILIHUNHE
1101,001448,HSSYPHHH,华商双翼平衡混合,混合型-平衡,HUASHANGSHUANGYIPINGHENGHUNHE
1102,001449,HSSQYXHH,华商双驱优选混合,混合型-灵活,HUASHANGSHUANGQUYOUXUANHUNHE
1103,001453,PHHXHHA,鹏华弘鑫混合A,混合型-灵活,PENGHUAHONGXINHUNHEA
1104,001454,PHHXHHC,鹏华弘鑫混合C,混合型-灵活,PENGHUAHONGXINHUNHEC
1105,001455,JSCCZZ500ETFLJ,景顺长城中证500ETF联接,指数型-股票,JINGSHUNCHANGCHENGZHONGZHENG500ETFLIANJIE
1106,001457,HSXCTHH,华商新常态混合,混合型-灵活,HUASHANGXINCHANGTAIHUNHE
1107,001463,GDYDYLHH,光大一带一路混合,混合型-偏股,GUANGDAYIDAIYILUHUNHE
1108,001464,GDDXHHA,光大鼎鑫混合A,混合型-灵活,GUANGDADINGXINHUNHEA
1109,001466,HFYXLHPZHHA,华富永鑫灵活配置混合A,混合型-灵活,HUAFUYONGXINLINGHUOPEIZHIHUNHEA
1110,001467,HFYXLHPZHHC,华富永鑫灵活配置混合C,混合型-灵活,HUAFUYONGXINLINGHUOPEIZHIHUNHEC
1111,001468,GFGGHH,广发改革混合,混合型-灵活,GUANGFAGAIGEHUNHE
1112,001469,GFZZQZJRDCLJA,广发中证全指金融地产联接A,指数型-股票,GUANGFAZHONGZHENGQUANZHIJINRONGDICHANLIANJIEA
1113,001470,RTTXLHPZHH,融通通鑫灵活配置混合,混合型-灵活,RONGTONGTONGXINLINGHUOPEIZHIHUNHE
1114,001471,RTXNYLHPZHH,融通新能源灵活配置混合,混合型-灵活,RONGTONGXINNENGYUANLINGHUOPEIZHIHUNHE
1115,001472,RTXNYLHPZHH,融通新能源灵活配置混合(后端),混合型-灵活,RONGTONGXINNENGYUANLINGHUOPEIZHIHUNHE
1116,001473,JXDAQZLJXGP,建信大安全战略精选股票,股票型,JIANXINDAANQUANZHANLUEJINGXUANGUPIAO
1117,001474,XYFYLHPZ,兴银丰盈灵活配置,混合型-灵活,XINGYINFENGYINGLINGHUOPEIZHI
1118,001475,YFDGFJGHH,易方达国防军工混合,混合型-偏股,YIFANGDAGUOFANGJUNGONGHUNHE
1119,001476,ZYZNZZGPA,中银智能制造股票A,股票型,ZHONGYINZHINENGZHIZAOGUPIAOA
1120,001477,TKXYBHBA,泰康薪意保货币A,货币型,TAIKANGXINYIBAOHUOBIA
1121,001478,TKXYBHBB,泰康薪意保货币B,货币型,TAIKANGXINYIBAOHUOBIB
1122,001479,ZYFGLDLHPZHH,中邮风格轮动灵活配置混合,混合型-灵活,ZHONGYOUFENGGELUNDONGLINGHUOPEIZHIHUNHE
1123,001480,CTCZYXHH,财通成长优选混合,混合型-偏股,CAITONGCHENGZHANGYOUXUANHUNHE
1124,001481,HBBPYQSYGPMYA,华宝标普油气上游股票美元A,QDII,HUABAOBIAOPUYOUQISHANGYOUGUPIAOMEIYUANA
1125,001482,STMGXXFWGP,上投摩根新兴服务股票,股票型,SHANGTOUMOGENXINXINGFUWUGUPIAO
1126,001484,THXJZHH,天弘新价值混合,混合型-灵活,TIANHONGXINJIAZHIHUNHE
1127,001485,HATYHH,华安添颐混合,混合型-偏债,HUAANTIANYIHUNHE
1128,001487,BYYSCYHHA,宝盈优势产业混合A,混合型-灵活,BAOYINGYOUSHICHANYEHUNHEA
1129,001488,WJRFLHPZHHA,万家瑞丰灵活配置混合A,混合型-灵活,WANJIARUIFENGLINGHUOPEIZHIHUNHEA
1130,001489,WJRFLHPZHHC,万家瑞丰灵活配置混合C,混合型-灵活,WANJIARUIFENGLINGHUOPEIZHIHUNHEC
1131,001490,HTFGQCXGP,汇添富国企创新股票,股票型,HUITIANFUGUOQICHUANGXINGUPIAO
1132,001495,DFXJZHHA,东方新价值混合A,混合型-偏债,DONGFANGXINJIAZHIHUNHEA
1133,001496,GYJJ30GP,工银聚焦30股票,股票型,GONGYINJUJIAO30GUPIAO
1134,001497,DCYTLZQE,大成月添利债券E,债券型-中短债,DACHENGYUETIANLIZHAIQUANE
1135,001498,JXXRHBLHPZHH,建信鑫荣回报灵活配置混合,混合型-灵活,JIANXINXINRONGHUIBAOLINGHUOPEIZHIHUNHE
1136,001499,GTRYXZZHHA,国投瑞银新增长混合A,混合型-灵活,GUOTOURUIYINXINZENGZHANGHUNHEA
1137,001500,HDYJHBHH,泓德远见回报混合,混合型-灵活,HONGDEYUANJIANHUIBAOHUNHE
1138,001503,NFLXC,南方利鑫C,混合型-灵活,NANFANGLIXINC
1139,001504,NFLTC,南方利淘C,混合型-灵活,NANFANGLITAOC
1140,001505,NFLZC,南方利众C,混合型-灵活,NANFANGLIZHONGC
1141,001506,JSCCTHHBHHA,景顺长城泰和回报混合A,混合型-灵活,JINGSHUNCHANGCHENGTAIHEHUIBAOHUNHEA
1142,001507,JSCCTHHBHHC,景顺长城泰和回报混合C,混合型-灵活,JINGSHUNCHANGCHENGTAIHEHUIBAOHUNHEC
1143,001508,FGXDLLHPZHHA,富国新动力灵活配置混合A,混合型-灵活,FUGUOXINDONGLILINGHUOPEIZHIHUNHEA
1144,001510,FGXDLLHPZHHC,富国新动力灵活配置混合C,混合型-灵活,FUGUOXINDONGLILINGHUOPEIZHIHUNHEC
1145,001511,XQXSYDKHH,兴全新视野定开混合,混合型-灵活,XINGQUANXINSHIYEDINGKAIHUNHE
1146,001512,YFDZZ35NQGZZS,易方达中债3-5年期国债指数,债券型-长债,YIFANGDAZHONGZHAI35NIANQIGUOZHAIZHISHU
1147,001513,YFDXXCYHH,易方达信息产业混合,混合型-偏股,YIFANGDAXINXICHANYEHUNHE
1148,001515,PAXXXFC,平安新鑫先锋C,混合型-灵活,PINGANXINXINXIANFENGC
1149,001516,DCAHJRZE,大成安汇金融债E,债券型-长债,DACHENGANHUIJINRONGZHAIE
1150,001518,WJRX,万家瑞兴,混合型-灵活,WANJIARUIXING
1151,001520,GTRYYJJXGP,国投瑞银研究精选股票,股票型,GUOTOURUIYINYANJIUJINGXUANGUPIAO
1152,001521,GSABCZYXGP,国寿安保成长优选股票,股票型,GUOSHOUANBAOCHENGZHANGYOUXUANGUPIAO
1153,001522,BSXCLLHPZHHA,博时新策略灵活配置混合A,混合型-灵活,BOSHIXINCELUELINGHUOPEIZHIHUNHEA
1154,001523,BSXCLLHPZHHC,博时新策略灵活配置混合C,混合型-灵活,BOSHIXINCELUELINGHUOPEIZHIHUNHEC
1155,001524,HTBRJXHBHH,华泰柏瑞精选回报混合,混合型-灵活,HUATAIBAIRUIJINGXUANHUIBAOHUNHE
1156,001526,XYAXBHBA,鑫元安鑫宝货币A,货币型,XINYUANANXINBAOHUOBIA
1157,001527,XYAXBHBB,鑫元安鑫宝货币B,货币型,XINYUANANXINBAOHUOBIB
1158,001528,NAXJZZGP,诺安先进制造股票,股票型,NUOANXIANJINZHIZAOGUPIAO
1159,001529,THYSB,天弘云商宝,货币型,TIANHONGYUNSHANGBAO
1160,001530,WJRFLHPZHHA,万家瑞富灵活配置混合A,混合型-灵活,WANJIARUIFULINGHUOPEIZHIHUNHEA
1161,001531,ZSAYLHPZHH,招商安益灵活配置混合,混合型-灵活,ZHAOSHANGANYILINGHUOPEIZHIHUNHE
1162,001532,HAWTJKHH,华安文体健康混合,混合型-灵活,HUAANWENTIJIANKANGHUNHE
1163,001534,HBWWHLHH,华宝万物互联混合,混合型-灵活,HUABAOWANWUHULIANHUNHE
1164,001535,JSCCGGJYLHPZA,景顺长城改革机遇灵活配置A,混合型-灵活,JINGSHUNCHANGCHENGGAIGEJIYULINGHUOPEIZHIA
1165,001536,NFJX,南方君选,混合型-灵活,NANFANGJUNXUAN
1166,001537,ZJGGHLHH,中加改革红利混合,混合型-灵活,ZHONGJIAGAIGEHONGLIHUNHE
1167,001538,STMGKJQYLHPZHH,上投摩根科技前沿灵活配置混合,混合型-灵活,SHANGTOUMOGENKEJIQIANYANLINGHUOPEIZHIHUNHE
1168,001539,JSZZJRDCETFLJA,嘉实中证金融地产ETF联接A,指数型-股票,JIASHIZHONGZHENGJINRONGDICHANETFLIANJIEA
